frase,tag
é consertar o meu telefone,reparar-linha
como faço para ter a linha controle oitenta,comprar-linha
não estou conseguindo fazer uma ligação,reparar-linha
é adquirir uma linha cadeada,comprar-linha
não o problema é o chiado no meu telefone,reparar-linha
quero saber um problema com uma linha,reparar-linha
é fazer o reparo da minha linha telefônica,reparar-linha
como faço para consertar o telefone,reparar-linha
pedir transferência de endereço,mudar-endereco
eu quero saber se este telefone está com defeito ou qualquer coisa que tem é sete,reparar-linha
é conserto de telefone que não está pegando,reparar-linha
queria ver sobre a conta que não tá paga o mês passado e já tá pago,pagar-conta
quero que venha arrumar meu telefone que está uma porcaria só chia,reparar-linha
solicitar reparo de linha,reparar-linha
re reparo na linha telefônica,reparar-linha
quero cancelar um pedido um serviço,cancelar-servicos
a minha linha está com ruídos,reparar-linha
e porque não consigo fazer ligação para lugar nenhum,reparar-linha
gostaria de saber se o meu telefone está bloqueado para,reparar-linha
conserto telefônico,reparar-linha
defeitos na minha linha,reparar-linha
meu o telefone não recebe chamada,reparar-linha
meu telefone não tá fazendo ligação e a contas já tão paga,pagar-conta
reparo da linha de telefone,reparar-linha
minha linha ainda não esta ligada,reparar-linha
o telefone o telefone está com muito chiado agente não está conseguindo nem falar e nem ouvir direito as pessoas,reparar-linha
eu quero reparar é reparação na minha ligação o na minha linha telefônica,reparar-linha
técnico para arrumar linha está chiando,reparar-linha
linha com problema linha com barulho,reparar-linha
não consigo ligar para um cinco cinco sete um oito sete oito meia de fora,reparar-linha
quero pagar as contas,pagar-conta
adquirir linha econômica,comprar-linha
é o meu telefone está com problema,reparar-linha
é eu quero cancelar um serviço de terceiros de telefônica,cancelar-servicos
gostaria de saber porque meu telefone não recebe e não faz chamada,reparar-linha
quero uma linha telefônica fixo,comprar-linha
quero cancelar a secretária light,cancelar-servicos
está desligado o telefone,reparar-linha
não funciona a ligação,reparar-linha
a linha que não funciona,reparar-linha
cancelamento de uma ordem de serviço,cancelar-servicos
manutenção no telefone,reparar-linha
preciso saber porque recebi cobrança pois a minha conta está paga,pagar-conta
desejo pedir uma nova linha,comprar-linha
cancelar conta,cancelar-conta
é porque caiu uma chuva forte aqui e o telefone saiu de comunicação,reparar-linha
é que o meu telefone na nossa rua rua bela vista número cento e quarenta não tem nenhuma linha e botaram fogo na estrada e queimaram o cabo,reparar-linha
reparo para linha,reparar-linha
é fazer pedido de conserto de linha telefônica não dessa de outra linha,reparar-linha
meu telefone fixo não dá linha,reparar-linha
meu telefone não está funcionando está sem linha,reparar-linha
saber como faço para alterar o número do meu endereço,mudar-endereco
o telefone está com mal funcionamento,reparar-linha
alterar endereço,mudar-endereco
telefone está desligado,reparar-linha
eu gostaria de mudar o endereço,mudar-endereco
tirar o telefone residencial ele tá com barulhinho,reparar-linha
gostaria de colocar novo endereço,mudar-endereco
cancelamento de na conta,cancelar-conta
quero reclamar da minha linha telefônica tá trocado o telefone,reparar-linha
